A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.46	Pretpostavimo da je $f$ Lebesgueova integrabilna funkcija na $[0,1]$ koja zadovoljava $\int x^k f(x) dx=0$ , dokazi $f=0 \text{ a.e.}$	Pretpostavimo da je $f$ neodređeno diferencijalna realna vrijedna funkcija na $[0,1]$ koja zadovoljava $\int_0^1 x^k f(x)\, dx=0$ za $k=\{0,1,2,3,.. .\}$, dokazi $f=0$ . Moj pokušaj: Da dokažemo ovu tvrdnju , dovoljno je dokazati $$\int_0^1 f^2 (x) \,dx=0$$ Zatim pristupačnim teoremom možemo pronaći polinom tako da za svaki $\epsilon \gt 0$ $$\int_0^1 f^2 (x) \,dx= \int_0^1 (f(x)-\sum_{n=0}^N a_n x^n)f(x) ,dx+\int_0^1 \sum_{n=0}^N f(x) a_n x^n\,dx \le \epsilon M$$ gdje $M=\sup_{x \in [0,1]}|f(x)|$ . Izgleda da ne trebamo uvjet da je $f$ neodređeno diferencijalna , ako je $f$ neprekidna onda zaključak može biti pravedan . Moje pitanje: a) Pretpostavimo da je $f$ Lebesgueova integrisana realna vrijedna funkcija na $[0,1]$ koja zadovoljava $f$0 za $k=\{0,1,2,3,.. .\}$, možemo li dokazati $f=0$ osim na skupu mjera $f$1 ? b) Ako a) nije istina , $f$ je Riemannova integrisana vrijedna funkcija koja zadovoljava $f$0 za $k=\{0,1,2,3,.. .\}$, možemo li dokazati da je $f=0$ jednak kompletnom dokazu o mjerenju $f$1 i da je to dovoljno da dokažemo da je $f$1 i $f$1 dostignu $f$1 , a da je $f$1 i $f$1 je ekvivalentna skupu $f$1 , onda je dovoljno da dokažemo da je $f$1 i $f$1 i $f$1 je ekvivalentna količina $f$1 .	real-analysis
A.47	Pokažite da za danu prvočlanicu $p$ i svaki $0 < r < p-1$, postoji $q$ tako da $rq \equiv 1 \bmod p$	Dokazati da za određenu prvočlanku $p$ i svaki $0 < r < p-1$, postoji $q$ tako da $$rq \equiv 1 \bmod p$$ sam samo jednom ušao početni broj teorije tečaja (pre nekoliko godina), a ovo se upravo pojavio u razredu računalne znanosti (domenac). Pretpostavljao sam da bi ovaj dokaz bio elementar jer moj trenutni razred u algoritmu kursa, ali nakon nekoliko osnovnih pokušaja sam pokušao to nije izgledalo obećavajuće. Evo nekoliko pristupa sam mislio: (reversni inženjer) Onda doći do zaključka bismo trebali $$rq - 1 = kp$$ za neke $k$. Malo manipulacije: $$qr - kp = 1$$ To izgleda, ali ne mogu vidjeti ništa iz njega. (na $r$) $$\sum_{r=1}^{p-2} r = \frac{(p-2)(p-1)}{2} = p\frac{p - 3}{2} + 1 \equiv 1 \bmod p$$ što izgleda dobro, ali ne znam kako uključiti $r$0 konačnu jednakost. (Wilsonov teorema  Lagrover v15) Onda se primjećem nekoliko jednostavnih rezultata, ali mislim da je u $p$1 možda bilo poznato da je u $p$1 i $p$1 gdje je u $p$1 i $p$2 i $p$1 gdje je u $p$1 i $p$1 i $p$1 i $p$3 i $p$3 je u pitanju, ali mislim da je u $p$1 i $p$1 i $p$1 možda nije bilo poznato, ali nisam siguran kako je u tome da je u $p$1 i $p$1 i $p$1 gdje je u pitanju.	elementary-number-theory,proof-verification
A.48	Naznake za pokazivanje da ako je $x,y \geq 0$, onda $(x+y)^k \geq x^k + y^k$ za sve $k \geq 1$	Pokušavam pokazati sljedeće: ako je $x,y \geq 0$, onda je $(x+y)^k \geq x^k + y^k$ za sve $k \in \mathbb{R_{\geq 1}}$ Dakle, do sada sam pokušao nekoliko stvari, ali ništa ne izgleda da se drži. Očito je $x \leq x+ y$ i budući da su obje strane nejednakosti pozitivne, nejednakost $x^k \leq (x + y)^k$ će održati za $k \geq 1$. Isto tako, $y^k \leq (x+y)^k$. Ako se dodaju obje nejednakosti zajedno, dobivamo: $x^k + y^k \leq 2(x+y)^k$. Iako je to blizu, naravno, to nije ono što želimo pokazati.	real-analysis,functions,inequality
A.49	Postoji li jednostavna kombinativna interpretacija tog identiteta?	Našao sam vježbu u kojoj smo traženi da dokažemo identitet: $${2n\choose n}=\sum_{k=0}^n{n\choose k}^2$$ vježba daje sugestiju: $$\left(1+x\right)^{2n}=\left[(1+x)^n\right]^2$$ Nije previše teško koristiti sugestiju za dokaz identiteta (izrazovi u identitetu su koeficijenti $x^n$ u odgovarajućim proširenjima izraza u sugestiji, koji naravno mora biti isti broj), ali pitao sam se postoji li čistija ekvivalentna interpretacija broja... Jasno je da je ${2n \choose n}$ broj načina na koji možemo odabrati pola elemenata u skupu (kada je to moguće): kako možemo tumačiti $\sum_{k=0}^n{n\choose k}^2$ ekvivalentno?	combinatorics,binomial-coefficients
A.50	Sljedeći članak	Bonjour. Pokaži da je $$\sum{\frac{1}{n^{2+\cos{n}}}}$$ divergentna serija. $$\\$$ Moj glavni problem je: ako je $\epsilon$ infinito mali pozitivan stvarni broj  definirajte $A_{\epsilon}$ kao skup svih $n, |2+\cos n|\leq 1+\epsilon$ $(n \in A_{\epsilon}\iff-1\leq \cos n \leq -1+\epsilon)$. Divergencija bi trebala doći iz sume preko $A_{\epsilon}$ ali nemam pojma kako se nositi s tim. $$\\$$	real-analysis,integration,sequences-and-series,analysis
A.51	Sljedeći članak:	Ispostavite da je $\displaystyle \sum_{r=0}^n {n+r\choose r} \frac{1}{2^{r}}= 2^{n}$ što sam pokušao $$\binom{n}{n}+\binom{n+1}{1}\frac{1}{2}+\binom{n+2}{2}\frac{1}{2^2}+\binom{n+3}{3}\frac{1}{2^3}+\cdots +\binom{n+n}{n}\frac{1}{2^n}$$ $$\binom{n}{n}+\binom{n+1}{n}\frac{1}{2}+\binom{n+2}{n}\frac{1}{2^2}+\binom{n+3}{n}\frac{1}{2^3}+\cdots +\binom{n+n}{n}\frac{1}{2^n}.$$ koeficijent $x^n$ u $$(1+x)^n+(1+x)^{n+1}\frac{1}{2}+(1+x)^{n+2}\frac{1}{2^2}+\cdots\cdots +(1+x)^{2n}\frac{1}{2^n}.$$ Kako da riješim to pomozi mi plesse	binomial-coefficients
A.52	Prokazatelj $\forall n\in\mathbb{N}$, $\exists m\in\mathbb{N}$ i $m$ je prvo	Dokazati da je istina negiranja dovodi do proturječnosti. (Potrebi teoremu: Za sve $a,b\in\mathbb{N}$ postoji jedinstveni kvotent $q$ i ostatak $r$ u $\mathbb{Z^+}$ tako da imamo i $a=qb+r$ i $n_1, n_2,...,n_k\in\mathbb{N}$0.) Za dio A, počeo sam s, uzimajući u obzir $n_1, n_2,...,n_k\in\mathbb{N}$1 i $n_1, n_2,...,n_k\in\mathbb{N}$2, pokazat ću da $n_1, n_2,...,n_k\in\mathbb{N}$3, $n_1, n_2,...,n_k\in\mathbb{N}$4 da ga postaviti, ali nisam siguran kako zapravo ići oko početka. Za dio B, znam da je negiranje $n_1, n_2,...,n_k\in\mathbb{N}$5 s.t. $n_1, n_2,...,n_k\in\mathbb{N}$6 ili $n_1, n_2,...,n_k\in\mathbb{N}$7 ili $n_1, n_2,...,n_k\in\mathbb{N}$8 nije točno prvo, ali opet nisam siguran što učiniti da počnem dokaz ili kako uključiti taj teorem.	proof-writing,prime-numbers
A.53	Pokažite da je jednostrana obrnutoća kvadratne matrice istinska obrnutoća	U slučaju matrice (linijske mape između vektorskih prostora), također je istina da $AB = 1 \nRightarrow BA = 1$. To se događa kada $A$ i $B$ nisu kvadratne matrice (u tom slučaju oni čak i ne čine grupu pod množenjem). Međutim, ako ograničimo kvadratne matrice, $AB = 1 \Rightarrow BA = 1$. Koji je jednostavan dokaz toga koji izbjegava progon ulaza, i koristi jednostavno vektorsku strukturu prostora linearnih transformacija?	linear-algebra,group-theory
A.54	Koristeći dijagonalni argument, pokažite da je skup snage $P(N) = (S|S ⊆ N)$ nepročitavan.	Koristeći dijagonalni argument, pokažite da je set snage $P(N) = (S|S ⊆ N)$ nepročitavan.	discrete-mathematics,elementary-set-theory
A.55	$\frac{1}{\sqrt{-1}}=\sqrt{-1}$?	Imam problema shvatiti što je moja greška u sljedećem izračunu: Ako postavimo $\sqrt{-1}$ kao novi broj s osobinom da $(\sqrt{-1})^2 = -1$ onda mogu napisati $$\frac{1}{\sqrt{-1}}=\sqrt{\frac{1}{-1}}=\sqrt{-1}.$$ Ali imamo također (i znam da je to ispravni rezultat) $$ \frac{1}{\sqrt{-1}}\cdot\frac{\sqrt{-1}}{\sqrt{-1}}=\frac{\sqrt{-1}}{-1}=-\sqrt{-1}$$ Što mi nedostaje? Hvala.	complex-numbers,definition
A.56	Čudno logističko pravilo koje uključuje prvo brojeve	Da li je sljedeća formula $$ \exists p\ \bigl(\text{$p$ is prime } \rightarrow \forall x  \text{ ($x$ is prime)}\bigr)  $$ istinita ili lažna na $S$? Znam odgovor na ovo pitanje, ali koji bi bio najkraći način da se dođe do zaključka koristeći neki sustav oduzimanja?	logic,first-order-logic
A.57	Predobraz kontinuirane funkcije jedan na jedan na povezanom domenu nije kontinuiran.	Znam da je $B$, kompaktni podmještaj $\mathbb{R}^n$ i $f : B \to \mathbb{R}^m$, kontinuirana injektivna (jedan-na-jedan) funkcija, $f^{-1}$ kontinuiran na $f(B)$. (To je istina). Također znam da je slika $f(X)$ povezanog podmještaja $X$ povezana pod kontinuiranom funkcijom.	real-analysis,general-topology,analysis,continuity,metric-spaces
A.58	Dokažite to.	Ne znam od kuda početi i kako to dokazati. Ne morate odgovoriti u potpunosti, samo mi date naznaka ili nešto. Hvala unaprijed.	trigonometry
A.59	S druge strane, ne može se utvrditi da je to u skladu s člankom 1.	Tražim više dokaza za tu tvrdnju: ovdje $\phi(n)$ označava Eulerov totient $$\sum_{d|n}{\phi(d)}=n$$ Ovdje je jedan: Jedinstvenom teoremom faktoriziranja: $n=\prod_{k=1}^{m}{p_k^{\alpha_k}}$ i $d=\prod_{k=1}^{m}{p_k^{\beta_k}}$ gdje $0\leq \beta_k\leq \alpha_k$ tako: $\begin{align} \sum_{d|n}{\phi(d)}&=\sum_{0\leq \beta_k\leq \alpha_k}{\phi\left(\prod_{k=1}^{m}{p_k^{\beta_k}}\right)}\\ &= \sum_{0\leq \beta_k\leq \alpha_k}{\prod_{k=1}^{m}\phi({p_k^{\beta_k})}}\\ &=\sum_{0\leq \beta_k\leq \alpha_k}{\prod_{k=1}^{m}{(p_k^{\beta_k}-p_k^{\beta_k-1}})}\\ &=\prod_{k=1}^{m}{\sum_{0\leq \beta_k\leq \alpha_k}{(p_k^{\beta_k}-p_k^{\beta_k-1}}})\\ &= \prod_{k=1}^{m}{p_k^{\alpha_k}}\\ &=n. \end{align}$	group-theory,number-theory,alternative-proof,big-list
A.60	Ograničavajuća vrijednost sekvencije kada n ima tendenciju na beskonačnost	P) Da, $a_{n} \;=\; \left ( 1-\frac{1}{\sqrt{2}} \right ) ... \left ( 1- \frac{1}{\sqrt{n+1}} \right )$ , $n \geq 1$. Onda $\lim_{n\rightarrow \infty } a_{n}$ (A) jednako je $1$ (B) ne postoji (C) jednako je $\frac{1}{\sqrt{\pi }}$ (D) jednako je $0$ Moj pristup :- ne dobivam određeni smjer ili bilo koji postupak za pojednostavljenje $a_{n}$ i pronaći njegovu vrijednost kada n ima tendenciju do beskonačnosti.	calculus,sequences-and-series,limits,products
A.61	Postoji $i, j \in \mathbb{N}$ takav da $n=3i+5j$ za $n\ge 8$	Ispostavimo da postoji $i, j \in \mathbb{N}$ tako da $n=3i+5j$ za $n\ge 8$ imam teško vrijeme s ovom vježbom, pokušavam to dokazati indukcijom: Osnovni korak: $n=8 \implies 8=3\cdot1+5\cdot 1$ $n=9 \implies 9=3\cdot3+5\cdot0$ $n=10 \implies 10=3\cdot0+5\cdot2$ Indukcijski korak: Ako je istina za $n=h$ onda mora biti istina za $n=h+1$.	elementary-number-theory,discrete-mathematics,induction,diophantine-equations
A.62	Dokažite da je kardinalitet skupa racionalnih brojeva i skupa cjelina jednako	Upravo sam naučio o kardinalitetu u svom razredom prije nekoliko dana, a ovo je u domaćem zadatku. Sve mi je prilično zbunjujuće, i nisam potpuno siguran odakle početi. Evo punog pitanja: Neka $\mathbb{Q}$ označi skup racionalnih brojeva i $\mathbb{Z}$ označi skup cjelina. Ispostavite da $|\mathbb{Q}| = |\mathbb{Z}|$. Mislio sam reći da svaki element u $\mathbb{Q}$ može biti napisan kao neki element u $\mathbb{Z} \times \mathbb{Z}$, ali još uvijek ne znam kako dokazati da je to bijecija, ili čak kako dokazati da je $|\mathbb{Z} \times \mathbb{Z}| = |\mathbb{Z}|$. Bilo kakva pomoć bi bila vrlo cijena.	discrete-mathematics
A.63	Snimke za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje za uređaje	Za bilo koji dva pozitivna cjelina ${n_1,n_2}$, odnos između njihovog najvećeg zajedničkog dijelača i njihovog najmanje zajedničkog mnogača je dao $$\text{lcm}(n_1,n_2)=\frac{n_1 n_2}{\gcd(n_1,n_2)}$$ Ako imam skup $r$ pozitivnih cjelina ${n_1,n_2,n_3,...,n_r}$, je li isti odnos održan?	proof-explanation,greatest-common-divisor,least-common-multiple
A.64	Pretpostavimo da je f: [a, b] → R kontinuirano i da je f([a, b])  [a, b]. Pokažite da postoji tačka c ∈ [a, b] koja zadovoljava f(c) = c.	Pretpostavimo da je $f : [a, b] \to \mathbb{R}$ kontinuiran i da je $f([a, b]) \subset [a, b]$. Pokažite da postoji tačka $c \in [a, b]$ koja zadovoljava $f(c) = c$. (Ako je ili $f(a) = a$ ili $f(b) = b$ nema što pokazati, tako da možete isto dobro pretpostaviti da je $f(a) = a$ i $f(b) = b$. Budući da $f$ uzima svoje vrijednosti u $[a, b]$. To je isto što i pretpostaviti da je $f(a) > a$ i $f : [a, b] \to \mathbb{R}$0.) Do sada, imam: Pf. Pretpostaviti $f : [a, b] \to \mathbb{R}$1 i $f : [a, b] \to \mathbb{R}$2. Neka $f : [a, b] \to \mathbb{R}$3 tako da $f : [a, b] \to \mathbb{R}$4 i $f : [a, b] \to \mathbb{R}$5 što znači $f : [a, b] \to \mathbb{R}$6.	real-analysis,continuity,proof-explanation
A.65	Kako možemo pokazati da $e^{-2\lambda t}\lambda^2\le\frac1{e^2t^2}$ za sve $\lambda,t\ge0$?	Kako možemo pokazati da je $$e^{-2\lambda t}\lambda^2\le\frac1{e^2t^2}\tag1$$ za sve $\lambda,t\ge0$? Primjenom $\ln$ na obje strane, dobivamo da je $(1)$ ekvivalent $$t\lambda\le e^{t\lambda-1}\tag2.$$.	calculus,inequality,exponential-function
A.66	ako je $x,h \in \mathbb{R}^d$ i $A \in \mathbb{R}^{d\times d}$ moguće opravdati taj $(x^TAh)^T = h^TA^Tx$?	ako je $x,h \in \mathbb{R}^d$ i $A \in \mathbb{R}^{d\times d}$ moguće opravdati taj $(x^TAh)^T = h^TA^Tx$?	linear-algebra,transpose
A.67	Snimka za razvrstavanje	Ako je A matrica $k\times k$, B je matrica $k\times l$ i C je matrica $l\times l$ dokažite da je: $\det{\begin{bmatrix}A&B\\O&C\end{bmatrix}}=\det(A)\det(C)$ O matrica da su svi njeni elementi jednaki nuli. Znam neke pravila za izračun određenih elemenata, ali ne znam kako početi u ovom pitanju.	calculus,determinant
A.68	Dokazati da je $a^n+1$ podijeljen $a + 1$ ako je $n$ par	Dokazatelj $a^n+1$ je podijeljen s $a + 1$ ako je $n$ parno: znamo da $a$ ne može biti $-1$ i $n \in \mathbb{N}$. Budući da je $n$ parno, možemo prepisati $n$ kao $2k+1$. Sada pretpostavimo da drži za dokaz da drži za sljedeći termin. $$a^{2(k+1)+1}+1$$ $$=a^{2k+3}+1$$ $a^n+1$0 $a^n+1$1 Nisam siguran što učiniti sljedeće. Budući da $a^n+1$2 znači da će eksponencijalni termin biti parno i stoga ne možete koristiti činjenicu da je $a^n+1$ podijeljen s $a + 1$ ako je $n$ parno.	polynomials,induction,divisibility
A.69	Indukcija s dva promjenljiva parametra	Dakle, dobio sam ovaj problem domaćeg zadatka: $$\ {s \choose s} + {s+1 \choose s} +...+ {n \choose s} = {n+1 \choose s+1}$$ za sve s i sve $n \geq s$ Pokušao sam e-mail i moj profesor i moj TA i njihova objašnjenja izgledaju proturječna. Moj profesor odgovorio je kazao da je izjava moram dokazati je "Formula je ispravna za $0 \leq s \leq n$. " Dok mi je moj TA rekao da moram koristiti indukciju na obje promjenljive i nisam siguran kako to učiniti. Bilo kakva pomoć je cijenjena!	combinatorics
A.70	Dokaz $\sum_{j=0}^{N-1}\cos\frac{\left(2j+1\right)\pi}{2N}=0$	$\begin{equation} \sum_{j=0}^{N-1}\cos\left(l\frac{\left(2j+1\right)\pi}{2N} \right)=0 \end{equation}$ sam pokušao koristiti Eulerovu formuli i onda sumao prve $N$ izraze geometrijskog niz koji dobivam, ali nije uspjelo.	trigonometry,summation
A.71	Pokaži, indukcijom da $1^2 + 2^2 + .... + n^2 = \frac{n(n+1)(2n+1)}{6}$	Pokaži, s indukcijom da $1^2 + 2^2 + .... + n^2 = \frac{n(n+1)(2n+1)}{6}$ Moj pokušaj slučaj 1: n = 1 $LHS = 1^2$ $RHS = \frac{(1+1)(2+1)}{6} = \frac{2*3}{6} = 1$ slučaj 2: n = p $LHS_{p} = 1^2 + 2^2 + ... + p^2$ $RHS_{p} = \frac{p(p+1)(2p+1)}{6}$ slučaj 3: n = p + 1 $LHS_{p+1} = 1^2+2^2+....+p^2+(p+1)^2$ $RHS_{p+1} = \frac{(p+1)((p+1)+1)(2(p+1)+1)}{6}$ Sada da pokažem ovo indukcijom mislim da moram pokazati da $RHS_{p+1} = RHS_{p} + (p+1)^2$ $RHS_{p+1} = \frac{p(p+1)(2p+1)}{6} + (p+1)^2$ Dakle moram prepisati $1^2 + 2^2 + .... + n^2 = \frac{n(n+1)(2n+1)}{6}$0 da bude jednako $1^2 + 2^2 + .... + n^2 = \frac{n(n+1)(2n+1)}{6}$1	induction
A.72	Je li moguće da je $\mathcal{X} = \mathcal{Y}$, a još $\mathcal{X} \in \mathcal{Y}$?	Je li moguće da je skup jednako drugom skupinu, a da je prvi skup element u drugom skupinu?	set-theory,axioms
A.73	Pomoć za dokaz o $\binom{n}{0}^2 + \binom{n}{1}^2 + ... + \binom{n}{n}^2 = \binom{2n}{n}$	Ispostaviti će se da je dokaz potrebno provesti pomoću binomijalne teoreme. Izložit ću sljedeću jednadžbu i nazvati je $P$: $(1+x)^n(1+x)^n=(1+x)^{2n}$ (?-1) Rezultat će biti pronalaženje prvobitnog koeficijenta $x^n$ oba termina ove jednadžbe, a nakon što ga izložim, postaviti ću pitanja. Vidjet ćete pitanja poput ove (?-n) na tačkama koje ne razumijem, gdje je $n$ brojanje oznake. Ovo su sumom sumom na znak, koju se nadam da netko može objasniti. Ispostavite da je $\binom{n}{0}^2 + \binom{n}{1}^2 + ... + \binom{n}{n}^2 = \binom{2n}{n}$. Koristit ćemo sljedeću jednadžbu, a nazvat ćemo je $P$: $(1+x)^n(1+x)^n=(1+x)^{2n}$ (?-1) Rezultat će biti pronalaženje prvobitnog koeficijenta $x^n$ oba termina ove jednadžbe (?-2). Prema binomijskom teoremu, lijeva strana ove jednadžbe je koeficijent proizvoda dva faktora, oboje jednaki $\binom{n}{0}1+\binom{n}{1}x+...+\binom{n}{r}x^r+...+\binom{n}{n}x^n$ množi, a to je sumom na znak, a to je ispostavilo da se može ispostaviti. Ispostavimo da je sumom na znak, a nadam se da je netko mogao objasniti. Ispostaviti da je to. Ispostaviti da je to. Ispostaviti se da je to pitanje. Ispostaviti se da je pitanje, a da je pitanje, ako je pitanje, zašto je bilo što je pitanje, a ako je pitanje, ako je pitanje, zašto je pitanje, zašto je pitanje, zašto je pitanje, zašto je pitanje, zašto je pitanje, zašto je pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanje, pitanj	discrete-mathematics,binomial-coefficients,binomial-theorem
A.74	Pokaži da je slika funkcije $f:(0,\infty)\rightarrow \mathbb{R}$, $f(x)=x+\dfrac{1}{x}$ interval $[2,\infty)$.	Pokažite da je slika funkcije $f:(0,\infty)\rightarrow \mathbb{R}$, $f(x)=x+\dfrac{1}{x}$ interval $[2,\infty)$. Ako je $x=1$, onda je $f(1)=2$.	functions,elementary-set-theory
A.75	Ispostavite da za svaki cijeli broj $m$, $ \lim_{u\to \infty} \frac{u^m}{e^u} = 0 $	Ne znam kako to pokazati za svaki cijeli broj $m$, $ \lim_{u\to \infty} \frac{u^m}{e^u} = 0 $. Pogledajući rješenja počinje s $e^u$ $>$ $\frac{u^{m+1}}{(m+1)!}$ ali nisam siguran kako je ovo logičan korak.	real-analysis,calculus,limits
A.76	S obzirom na to da se u skladu s člankom 1. stavkom 1. točka 1.	Rešavam probleme iz starog ispita (u topologiji, ali sam pokušao nešto: Neka $\{p_k\}=\{2,3,5,\dots\}$ bude skup prvočlanaka. Možemo konstruirati: $$\left(\bigcup_{k\in \mathbb{N}}(0+p_k\mathbb{Z})\right)\cup (-1+\ell_1 \mathbb{Z})\cup (1+\ell_2\mathbb{Z})=\mathbb{Z}$$ za neke odgovarajuće ne-negativne celine $a+b\mathbb{Z}=\{z\in \mathbb{Z}\mid z = a+bk \text{ for some  }k\in \mathbb{Z}\}$0. Mi, na primjer, odaberemo $\{a_i+b_i\mathbb{Z}\mid i \in \mathbb{N}\}$.	general-topology,elementary-number-theory
A.77	Pokažite da je odnos $(- 1) (- 1) = 1$ posljedica distributivnog zakona	Pokažite da je odnos $(- 1) (- 1) =  1$ posljedica distributivnog zakona. Ovo pitanje je prvi problem iz 'Theory of Numbers for Beginners' Andre Weil. Ne mogu dobiti tačku od gdje početi. Pokušao sam koristiti $1\cdot 1 = 1$ i $ 1\cdot x = x $, ali ne mogu doći negdje. Možete li mi pomoći samo sa naznanjem?	elementary-number-theory
A.79	Nejednakost s kompleksnim eksponencijalnim	Rudin u stvarnoj i kompleksnoj analizi koristi ovo u dokazu blizu početka poglavlja 9: $\displaystyle \left \vert{ \frac {e^{-ixu}-1}{u}}\right\vert \le \vert x \vert$ za sve stvarne $u \ne 0$ Zašto je to istina?	inequality,exponential-function,fourier-transform
A.80	Zašto ovaj dokaz da je skup svih krajnjih podmještaja N obračunljiv skup ne radi za skup svih podmještaja N?	Našao sam ovaj dokaz u nizu StackExchange i našao ga prilično razumljiv i jednostavan: "Oni drugi odgovori daju neku vrstu formule, kao što ste pokušali učiniti. Ali, najlakši način da se vidi da je skup svih krajnjih podnalazica $\mathbb{N}$ obračunljiv je vjerojatno sljedeći. Ako možete popisati elemente seta, s jednim koji dolazi prvi, zatim sljedeći, itd., onda to pokazuje da je skup obračunljiv. Ovdje postoji jednostavan uzorak. Samo počnite s najmanje. $$\emptyset, \{1\}, \{2\}, \{1, 2\}, \{3\}, \{1, 3\}, \{2, 3\}, \{1, 2, 3\}, \{4\}, \ldots$$ Drugim riječima, prvi dolazi $\{1\}$, onda dolazi $\{2\}$. Svaki put kada uvedeš novi cijeli broj, $n$, popisnite sve pogrešne podnalazice $[n] = \{1, 2, \ldots, n\}$ koji sadrže $n$ (one koje ne sadrže $n$ su već pojavile). Stoga, svi podnalazice $[n]$ se pojavljuju u prvom nizu $2^{n}$ ove. " Razumijem kako se može nastaviti primjenjivati bilo koji element N, ali ne bih mogao stvarno znati zašto se može primijeniti na sve podnalazice $n$ ali ne bih mogao vjerovati da se može primijeniti na sve podnalazice N, ali ne bih mogao primijeniti ovaj skema, ali stvarno ne mogu se uvjeriti da je vrlo dobro!	analysis,elementary-set-theory,proof-explanation
A.81	Svaki beskrajni skup sadrži brojivi podsjedak. Zašto je moj dokaz pogrešan?	$M$ je beskonačan skup. Predlog 1: Za svaki $n \in \mathbb{N}$ postoji injekcija od $\{1, \cdots, n\}$ do $M$. (1) Od $M \neq \emptyset$, postoji $x \in M$. Definirajte $f(1)$ kao $f(1) := x$. $f$ je injekcija od $\{1\}$ do $M$. (2) Pretpostavimo da postoji injekcija $f$ od $\{1, \cdots, n\}$ do $M$. Budući da $M$ je beskonačan skup, $M$0 nije prazan skup. Dakle, postoji $M$1. Definirajte $M$2 kao $M$3 i $M$4. Očito, $M$5 je injekcija od $M$6 do $M$. Neka $M$7 bude proizvoljan prirodni broj. Ako želim izračunati $M$8, onda dobijem pogrešnu injekciju $M$5 od $M$9 do $M$ Propozom 1.	elementary-set-theory,axiom-of-choice
