A.1	U skladu s člankom 4. stavkom 1. stavkom 1. točka 1.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.46	Pretpostavimo da je $f$ Lebesgue integrabilna funkcija na $[0,1]$ koja zadovoljava $\int x^k f(x) dx=0$ , dokažite $f=0 \text{ a.e.}$	Pretpostavimo da je $f$ neodređeno diferencijalna realna vrijedna funkcija na $[0,1]$ koja zadovoljava $\int_0^1 x^k f(x)\, dx=0$ za $k=\{0,1,2,3,.. .\}$, dokaži $f=0$ . Moj pokušaj: Da dokažemo ovu tvrdnju , dovoljno je dokazati $$\int_0^1 f^2 (x) \,dx=0$$ Zatim pristupačnim teoremom možemo pronaći polinom tako da za svaki $\epsilon \gt 0$ $$\int_0^1 f^2 (x) \,dx= \int_0^1 (f(x)-\sum_{n=0}^N a_n x^n)f(x) ,dx+\int_0^1 \sum_{n=0}^N f(x) a_n x^n\,dx \le \epsilon M$$ gdje je $M=\sup_{x \in [0,1]}|f(x)|$ . Izgleda da ne trebamo uvjet da je $f$ neodređeno diferencijalna , ako je $f$ kontinuiran onda zaključak može biti važan . Moj je pitanje: a) Pretpostavimo da je $f$ Lebesova integrisana realna vrijedna funkcija na $[0,1]$ koja je $f$0 za $k=\{0,1,2,3,.. .\}$, možemo li dokazati $f=0$ osim na skupu mjera $f$1 ? b) a) nije istina , pretpostavimo da je Q1 Riemann zadovoljava realna funkcija na $[0,1]$ i $f$1 , onda možemo dokazati da je $f$ za $f$4, osim na skupu mjera $f$1 , da je $f$ i $f$ za $f$1 , da je dovoljno da dokažemo da je $f$ za $f$ , a da je $f$ za $f$1 , a da je $f$ i $f$1 za $f$1 , a da je u potpunosti je ispravan mjera $f$	real-analysis
A.47	Pokažite da za danog prvoga $p$ i svaki $0 < r < p-1$, postoji $q$ tako da $rq \equiv 1 \bmod p$	Ispostavilo se da bi ovaj dokaz bio elementar jer sam trenutno u nastavi algoritma, ali nakon nekoliko osnovnih pokušaja nije izgledao obećavajuće. Evo nekoliko pristupa koje sam zamišljao: (reverse engineer) Da bi došli do zaključka da bi nam $$rq - 1 = kp$$ trebao za neki $k$. Malo manipulacije: $$qr - kp = 1$$ To izgleda poznato, ali ne mogu vidjeti ništa iz njega. (na $r$) $$\sum_{r=1}^{p-2} r = \frac{(p-2)(p-1)}{2} = p\frac{p - 3}{2} + 1 \equiv 1 \bmod p$$ što izgleda dobro, ali ne znam kako uključiti $r$ u konačnu jednadžnost. (Wilson je provjerio da je lako) Došao sam do zaključka da bi nam $$rq - 1 = kp$$ trebao za neki $k$. Malo manipulacije: $$qr - kp = 1$$ To izgleda poznato, ali ne mogu vidjeti ništa iz njega. (na $r$) $$\sum_{r=1}^{p-2} r = \frac{(p-2)(p-1)}{2} = p\frac{p - 3}{2} + 1 \equiv 1 \bmod p$$ što izgleda dobro, ali ne znam kako uključiti $r$ u konačnu jednadžbu. (Wilson je provjerio da je lako) Došao sam do zaključka da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je moguće da je da je moguće da je moguće da je moguće da je moguće da je da je moguće da je moguće da je moguće da je moguće da je da je moguće da je moguće da je moguće da je da je moguće da je moguće da je da je moguće da je moguće da je da je moguće da je da je moguće da je da je moguće da je moguće da je da je da je moguće da je moguće da je da je da je moguće da je da je da je moguće da je da je da je moguće da je da je moguće da je da je da je da je moguće da je da je da je da je da je moguće da je da je da je moguće da je da je da je da je da je da je da je da je da je da je moguće da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da je da da je da je da je da da je da je da da da da je da je da da da da da je da da da je da da da da da je da je da da da da je da je da da da da da je da je da da da je da je da da da da je da je da da da je da je da da da da da da da da je da je da je da da da je da je da da da da je da da da da da je da da da da da je da je da da da da je da da da da je da je da da da da da je da je da da da da je da da da da da da da je da da da da da je da da da da da je da je da da da da da da da da je da da da je da da da je da je da da da da da da da da da da da da da da je da je da da da da da da je da da da da da je da je da da da da da da da da da da da da je da je da da da da da da da da je da da da da da je da da da da da da da da da da da da da da da je da da da da da je da da da da da da je da da da da da da da da da da je da da da da da da da da da da da da da da je da da da da da da da da da da da da da da da da da da je da da da da da da da da da da da da je da da da da da da da da da da da je da je da da da da da je da je da	elementary-number-theory,proof-verification
A.48	Naznake za pokazivanje da ako je $x,y \geq 0$, onda je $(x+y)^k \geq x^k + y^k$ za sve $k \geq 1$	Pokušavam pokazati sljedeće: ako je $x,y \geq 0$, onda je $(x+y)^k \geq x^k + y^k$ za sve $k \in \mathbb{R_{\geq 1}}$ Do sada sam pokušao nekoliko stvari, ali ništa ne izgleda da se drži. Očito je $x \leq x+ y$ i budući da su obje strane nejednakosti pozitivne, nejednakost $x^k \leq (x + y)^k$ će održati za $k \geq 1$. Slično, $y^k \leq (x+y)^k$. Ako se dodaju obje nejednakosti zajedno, dobivamo: $x^k + y^k \leq 2(x+y)^k$. Iako je to blizu, naravno, to nije ono što želimo pokazati.	real-analysis,functions,inequality
A.49	Postoji li jednostavna kombinativna interpretacija tog identiteta?	Pronašao sam vježbu u kojoj smo traženi da dokažemo identitet: $${2n\choose n}=\sum_{k=0}^n{n\choose k}^2$$ vježba daje sugestiju: $$\left(1+x\right)^{2n}=\left[(1+x)^n\right]^2$$ Nije previše teško koristiti sugestiju za dokaz identiteta (izrazovi u identitetu su koeficijenti $x^n$ u odgovarajućim proširenjima izraza u sugestiji, koji naravno mora biti isti broj), ali pitao sam se postoji li čistija ekvivalentna interpretacija broja... Jasno je da je ${2n \choose n}$ broj načina na koji možemo odabrati pola elemenata u skupu (kada je to moguće): kako možemo interpretirati $\sum_{k=0}^n{n\choose k}^2$ ekvivalentno?	combinatorics,binomial-coefficients
A.50	Sljedeći članak	Bonjour. Pokažite da je $$\sum{\frac{1}{n^{2+\cos{n}}}}$$ divergentna serija. $$\\$$ Moj glavni problem je: ako je $\epsilon$ infinito mali pozitivan stvarni broj definirajte $A_{\epsilon}$ kao skup svih $n, |2+\cos n|\leq 1+\epsilon$ $(n \in A_{\epsilon}\iff-1\leq \cos n \leq -1+\epsilon)$. Divergencija bi trebala doći iz iznosa na $A_{\epsilon}$ ali nemam pojma kako se nositi s ovim.	real-analysis,integration,sequences-and-series,analysis
A.51	Sljedeći članak:	Ispostavite da je $\displaystyle \sum_{r=0}^n {n+r\choose r} \frac{1}{2^{r}}= 2^{n}$ što sam pokušao $$\binom{n}{n}+\binom{n+1}{1}\frac{1}{2}+\binom{n+2}{2}\frac{1}{2^2}+\binom{n+3}{3}\frac{1}{2^3}+\cdots +\binom{n+n}{n}\frac{1}{2^n}$$ $$\binom{n}{n}+\binom{n+1}{n}\frac{1}{2}+\binom{n+2}{n}\frac{1}{2^2}+\binom{n+3}{n}\frac{1}{2^3}+\cdots +\binom{n+n}{n}\frac{1}{2^n}.$$ koeficijent $x^n$ u $$(1+x)^n+(1+x)^{n+1}\frac{1}{2}+(1+x)^{n+2}\frac{1}{2^2}+\cdots\cdots +(1+x)^{2n}\frac{1}{2^n}.$$ Kako riješiti to pomozi mi plesse	binomial-coefficients
A.52	Ispostavite da je $\forall n\in\mathbb{N}$, $\exists m\in\mathbb{N}$ s.t. $m>n$ i $m$ prime	Dokazati da je istina negacije dovodi do kontradikcije. (Potrebi teoremu: Za sve $a,b\in\mathbb{N}$ postoji jedinstveni kvotent $q$ i ostatak $r$ u $\mathbb{Z^+}$ tako da imamo i $a=qb+r$ i $n_1, n_2,...,n_k\in\mathbb{N}$0.) Za dio A, počeo sam s, uzimajući u obzir $n_1, n_2,...,n_k\in\mathbb{N}$1 i $n_1, n_2,...,n_k\in\mathbb{N}$2, pokazat ću da $n_1, n_2,...,n_k\in\mathbb{N}$3, $n_1, n_2,...,n_k\in\mathbb{N}$4 da ga postaviti, ali nisam siguran kako zapravo krenuti oko početka. Za dio B, znam da je negacija točno $n_1, n_2,...,n_k\in\mathbb{N}$5 s.t.	proof-writing,prime-numbers
A.53	Pokažite da je jednostrana obrnutoća kvadratne matrice istinska obrnutoća	$g\in G$ i $B$ nisu kvadratne matrice (u tom slučaju ne čine ni grupu pod množenjem). Međutim, ako ograničimo kvadratne matrice, $AB = 1 \Rightarrow BA = 1$. Koji je to jednostavan dokaz koji izbjegava progon ulaza i koristi jednostavno vektorsku strukturu prostora linijskih transformacija? (U stvari, ako to možemo dokazati, mislim da to može podrazumijevati da za grupu koja ima jednostranu, ali ne dvostranu) obrnute, mora biti beskonačna, jer svaka konačna skupina priznaje krajnju dimenzijsku reprezentaciju.	linear-algebra,group-theory
A.54	Koristeći dijagonalni argument, pokažite da je skup snaga $P(N) = (S|S ⊆ N)$ nepročita.	Koristeći dijagonalni argument, pokažite da je $P(N) = (S|S ⊆ N)$ nepridrživ.	discrete-mathematics,elementary-set-theory
A.55	$\frac{1}{\sqrt{-1}}=\sqrt{-1}$?	Imam problema shvatiti što je moja greška u sljedećem izračunu: Ako postavimo $\sqrt{-1}$ da bude novi broj s osobinom da $(\sqrt{-1})^2 = -1$ onda mogu napisati $$\frac{1}{\sqrt{-1}}=\sqrt{\frac{1}{-1}}=\sqrt{-1}.$$ Ali mi također imamo (i znam da je to ispravni rezultat) $$ \frac{1}{\sqrt{-1}}\cdot\frac{\sqrt{-1}}{\sqrt{-1}}=\frac{\sqrt{-1}}{-1}=-\sqrt{-1}$$ Što mi nedostaje? Hvala.	complex-numbers,definition
A.56	Čudno logističko pravilo koje uključuje prvo brojeve	Da je $S$ prazan niz prirodnih brojeva. Je li sljedeća formula $$ \exists p\ \bigl(\text{$p$ is prime } \rightarrow \forall x  \text{ ($x$ is prime)}\bigr)  $$ istinita ili lažna na $S$? Znam odgovor na ovo pitanje, ali koji bi bio najkraći način da dođemo do zaključka koristeći neki sustav oduzimanja?	logic,first-order-logic
A.57	Predobraz kontinuirane funkcije jedan na jedan na povezanom domenu nije kontinuiran.	Znam da je $B$ kompaktni podsjedak $\mathbb{R}^n$ i $f : B \to \mathbb{R}^m$ kontinuiranom injektivnom (jedan-na-jedan) funkcijom, $f^{-1}$ kontinuiran na $f(B)$. (To je istina). Također znam da je slika $f(X)$ povezanog podsjedaka $X$ povezana pod kontinuiranom funkcijom.	real-analysis,general-topology,analysis,continuity,metric-spaces
A.58	Ispostavite da je $3\arcsin \frac{1}{4} + \arccos \frac {11}{16} = \frac {\pi}{2}$	Ne znam od kuda početi i kako to dokazati, ne moraš odgovoriti u potpunosti, samo mi daj naznaka.	trigonometry
A.59	U skladu s člankom 4. stavkom 1.	Tražim više dokaza za tu tvrdnju: ovdje $\phi(n)$ označava Eulerov totient $$\sum_{d|n}{\phi(d)}=n$$ Evo jedan: Jedinstvenom teoremom faktoriziranja: $n=\prod_{k=1}^{m}{p_k^{\alpha_k}}$ i $d=\prod_{k=1}^{m}{p_k^{\beta_k}}$ gdje $0\leq \beta_k\leq \alpha_k$ tako: $\begin{align} \sum_{d|n}{\phi(d)}&=\sum_{0\leq \beta_k\leq \alpha_k}{\phi\left(\prod_{k=1}^{m}{p_k^{\beta_k}}\right)}\\ &= \sum_{0\leq \beta_k\leq \alpha_k}{\prod_{k=1}^{m}\phi({p_k^{\beta_k})}}\\ &=\sum_{0\leq \beta_k\leq \alpha_k}{\prod_{k=1}^{m}{(p_k^{\beta_k}-p_k^{\beta_k-1}})}\\ &=\prod_{k=1}^{m}{\sum_{0\leq \beta_k\leq \alpha_k}{(p_k^{\beta_k}-p_k^{\beta_k-1}}})\\ &= \prod_{k=1}^{m}{p_k^{\alpha_k}}\\ &=n. \end{align}$	group-theory,number-theory,alternative-proof,big-list
A.60	Ograničavajuća vrijednost sekvencije kada n ima tendenciju na beskonačnost	P) Da, $a_{n} \;=\; \left ( 1-\frac{1}{\sqrt{2}} \right ) ... \left ( 1- \frac{1}{\sqrt{n+1}} \right )$ , $n \geq 1$. Onda $\lim_{n\rightarrow \infty } a_{n}$ (A) jednako je $1$ (B) ne postoji (C) jednako je $\frac{1}{\sqrt{\pi }}$ (D) jednako je $0$ Moj pristup :- Ne dobivam određeni smjer ili bilo koji postupak za pojednostavljenje $a_{n}$ i pronalaženje njegove vrijednosti kada n ima tendenciju do beskonačnosti. Dakle, pokušao sam ovako jednostavno zamijeniti vrijednosti i pokušati pronaći ograničavajuću vrijednost :- $\left ( 1-\frac{1}{\sqrt{1+1}} \right ) * \left ( 1-\frac{1}{\sqrt{2+1}} \right )*\left ( 1-\frac{1}{\sqrt{3+1}} \right )*\left ( 1-\frac{1}{\sqrt{4+1}} \right )*\left ( 1-\frac{1}{\sqrt{5+1}} \right )*\left ( 1-\frac{1}{\sqrt{6+1}} \right )*\left ( 1-\frac{1}{\sqrt{7+1}} \right )*\left ( 1-\frac{1}{\sqrt{8+1}} \right )*.........*\left ( 1-\frac{1}{\sqrt{n+1}}    \right )$ = $(0.293)*(0.423)*(0.5)*(0.553)*(0.622)*(0.647)*(0.667)* ....$ =0.009*... Dakle, ovdje vrijednost ima tendenciju do nule. Mislim da je opcija $a_{n} \;=\; \left ( 1-\frac{1}{\sqrt{2}} \right ) ... \left ( 1- \frac{1}{\sqrt{n+1}} \right )$0 ispravna. Pokušao sam ovako $a_{n} \;=\; \left ( 1-\frac{1}{\sqrt{2}} \right ) ... \left ( 1- \frac{1}{\sqrt{n+1}} \right )$1 = $a_{n} \;=\; \left ( 1-\frac{1}{\sqrt{2}} \right ) ... \left ( 1- \frac{1}{\sqrt{n+1}} \right )$2 Sada, opet sam se držala kako dalje pojednostaviti i pronaći vrijednost za koju $a_{n}$ konvergira kada $a_{n} \;=\; \left ( 1-\frac{1}{\sqrt{2}} \right ) ... \left ( 1- \frac{1}{\sqrt{n+1}} \right )$3 dolazi do beskonačnosti . Molim vas, pomozite ako postoji bilo koji postupak da riješite ovaj postupak.	calculus,sequences-and-series,limits,products
A.61	Postoji $i, j \in \mathbb{N}$ takav da $n=3i+5j$ za $n\ge 8$	Ispostavimo da postoji $i, j \in \mathbb{N}$ tako da $n=3i+5j$ za $n\ge 8$ imam poteškoće s ovom vježbom, pokušavam to dokazati indukcijom: Osnovni korak: $n=8 \implies 8=3\cdot1+5\cdot 1$ $n=9 \implies 9=3\cdot3+5\cdot0$ $n=10 \implies 10=3\cdot0+5\cdot2$ Indukcijski korak: Ako je to istina za $n=h$ onda mora biti istina za $n=h+1$.	elementary-number-theory,discrete-mathematics,induction,diophantine-equations
A.62	Dokažite da je kardinalitet skupa racionalnih brojeva i skupa cjelina jednako	Upravo sam naučio o kardinalitetu u svom razredom prije nekoliko dana, a ovo je u domaćem zadatku. Sve mi je prilično zbunjujuće, i nisam potpuno siguran odakle čak i početi. Evo punog pitanja: Neka $\mathbb{Q}$ označi skup racionalnih brojeva i $\mathbb{Z}$ označi skup cjelina. Ispostavite da $|\mathbb{Q}| = |\mathbb{Z}|$. Mislio sam reći da svaki element u $\mathbb{Q}$ može biti napisan kao neki element u $\mathbb{Z} \times \mathbb{Z}$, ali još uvijek ne znam kako dokazati da je to bijecija, ili čak kako dokazati da je $|\mathbb{Z} \times \mathbb{Z}| = |\mathbb{Z}|$. Bilo kakva pomoć bi bila vrlo cijena.	discrete-mathematics
A.63	Ključni brojci za sve vrste proizvoda	Za bilo koje dvije pozitivne celine ${n_1,n_2}$, odnos između njihovog najvećeg zajedničkog dijelača i njihovog najmanje zajedničkog mnogača je dao $$\text{lcm}(n_1,n_2)=\frac{n_1 n_2}{\gcd(n_1,n_2)}$$ Ako imam skup $r$ pozitivnih celinaca ${n_1,n_2,n_3,...,n_r}$, je li isti odnos održan?	proof-explanation,greatest-common-divisor,least-common-multiple
A.64	Pretpostavimo da je f: [a, b] → R kontinuirano i da je f([a, b])  [a, b]. Pokažite da postoji tačka c ∈ [a, b] koja zadovoljava f(c) = c.	Pretpostavimo da je $f : [a, b] \to \mathbb{R}$ kontinuiran i da je $f([a, b]) \subset [a, b]$. Pokažite da postoji tačka $c \in [a, b]$ koja zadovoljava $f(c) = c$. (Ako ili $f(a) = a$ ili $f(b) = b$ nema što pokazati, tako da možete isto dobro pretpostaviti da su $f(a) = a$ i $f(b) = b$. Budući da $f$ uzima svoje vrijednosti u $[a, b]$ to je isto kao pretpostavljanje da je $f(a) > a$ i $f : [a, b] \to \mathbb{R}$0.) Do sada, imam: Pf. Pretpostavimo $f : [a, b] \to \mathbb{R}$1 i $f : [a, b] \to \mathbb{R}$2. Neka $f : [a, b] \to \mathbb{R}$3 tako da $f : [a, b] \to \mathbb{R}$4 i $f : [a, b] \to \mathbb{R}$5 što znači $f : [a, b] \to \mathbb{R}$6.	real-analysis,continuity,proof-explanation
A.65	Kako možemo pokazati da $e^{-2\lambda t}\lambda^2\le\frac1{e^2t^2}$ za sve $\lambda,t\ge0$?	Kako možemo pokazati da je $$e^{-2\lambda t}\lambda^2\le\frac1{e^2t^2}\tag1$$ za sve $\lambda,t\ge0$? primjenom $\ln$ na obje strane daje se da je $(1)$ ekvivalent $$t\lambda\le e^{t\lambda-1}\tag2.$$.	calculus,inequality,exponential-function
A.66	Ako je $x,h \in \mathbb{R}^d$ i $A \in \mathbb{R}^{d\times d}$ moguće opravdati taj $(x^TAh)^T = h^TA^Tx$?	Ako je $x,h \in \mathbb{R}^d$ i $A \in \mathbb{R}^{d\times d}$ moguće opravdati taj $(x^TAh)^T = h^TA^Tx$?	linear-algebra,transpose
A.67	Snimka za razvrstavanje	Ako je A matrica $k\times k$, B je matrica $k\times l$ i C je matrica $l\times l$ dokažite da: $\det{\begin{bmatrix}A&B\\O&C\end{bmatrix}}=\det(A)\det(C)$ O je matrica da su svi njeni elementi jednaki nuli. Znam neke pravila za izračun određenih, ali ne znam kako početi u ovom pitanju.	calculus,determinant
A.68	Ispostavite da je $a^n+1$ podijeljen na $a + 1$ ako je $n$ par	Ispostavimo da se $a^n+1$ može podijeliti s $a + 1$ ako je $n$ parno: znamo da $a$ ne može biti $-1$ i $n \in \mathbb{N}$. Budući da je $n$ parno, možemo prepisati $n$ kao $2k+1$. Sada pretpostavimo da se drži za dokaz da se drži za sljedeći termin.	polynomials,induction,divisibility
A.69	Indukcija s dva promjenljiva parametra	Dakle, dobio sam ovaj problem domaćeg zadatka: $$\ {s \choose s} + {s+1 \choose s} +...+ {n \choose s} = {n+1 \choose s+1}$$ za sve s i sve $n \geq s$ Pokušao sam e-mail i moj profesor i moj TA i njihova objašnjenja izgledaju proturječna. Moj profesor odgovorio je kazao da je izjava moram dokazati je "Formula je ispravna za $0 \leq s \leq n$. " Dok mi je moj TA rekao da moram koristiti indukciju na obje promjenljive i nisam siguran kako to učiniti. Bilo kakva pomoć je cijenjena!	combinatorics
A.70	Ispitivanje $\sum_{j=0}^{N-1}\cos\frac{\left(2j+1\right)\pi}{2N}=0$	Pokušao sam koristiti Eulerovu formuli i onda sumao prve $N$ izraze geometrijskog niz koji dobivam, ali nije uspjelo.	trigonometry,summation
A.71	Pokaži, indukcijom da $1^2 + 2^2 + .... + n^2 = \frac{n(n+1)(2n+1)}{6}$	Pokaži, s indukcijom da $1^2 + 2^2 + .... + n^2 = \frac{n(n+1)(2n+1)}{6}$ Moj pokušaj slučaj 1: n = 1 $LHS = 1^2$ $RHS = \frac{(1+1)(2+1)}{6} = \frac{2*3}{6} = 1$ slučaj 2: n = p $LHS_{p} = 1^2 + 2^2 + ... + p^2$ $RHS_{p} = \frac{p(p+1)(2p+1)}{6}$ slučaj 3: n = p + 1 $LHS_{p+1} = 1^2+2^2+....+p^2+(p+1)^2$ $RHS_{p+1} = \frac{(p+1)((p+1)+1)(2(p+1)+1)}{6}$ Sada da pokažem ovo indukcijom mislim da moram pokazati da $RHS_{p+1} = RHS_{p} + (p+1)^2$ $RHS_{p+1} = \frac{p(p+1)(2p+1)}{6} + (p+1)^2$ Dakle moram prepisati $1^2 + 2^2 + .... + n^2 = \frac{n(n+1)(2n+1)}{6}$0 da bude jednako $1^2 + 2^2 + .... + n^2 = \frac{n(n+1)(2n+1)}{6}$1	induction
A.72	Je li moguće da je $\mathcal{X} = \mathcal{Y}$ i $\mathcal{X} \in \mathcal{Y}$?	Je li moguće da je skup jednako drugom skupinu, a da je prvi skup element u drugom skupinu?	set-theory,axioms
A.73	Pomoć za dokaz o $\binom{n}{0}^2 + \binom{n}{1}^2 + ... + \binom{n}{n}^2 = \binom{2n}{n}$	Ispostaviti da je to moguće. Ispostaviti da je to moguće. Ispostaviti da je to moguće. Ispostaviti da je to moguće. Koristit ćemo sljedeću jednadžbu i nazvati je $P$: $(1+x)^n(1+x)^n=(1+x)^{2n}$ (?-1) I nakon što je izložim, pokazat ću svoje pitanja. Vidjet ćete znakove pitanja poput ovog (?-n) na tačkama koje ne razumijem, gdje je $n$ brojanje oznake. Ovo su sumom sumom sumom koji imam u demonstraciji, a nadam se da netko može objasniti. Ispostaviti da je to $\binom{n}{0}^2 + \binom{n}{1}^2 + ... + \binom{n}{n}^2 = \binom{2n}{n}$. Koristit ćemo sljedeću jednadžbu, a nazvat ćemo je $(1+x)^n(1+x)^n=(1+x)^{2n}$ (?-1) i nakon što ću je izložiti. Ispostaviti se da će se iskazati da je $x^n$ koeficijent oba termina ove jednadžbe (?-2). Prema binomijskom koeficientu, lijeva strana ove jednadžbe je proizvod dva koeficienta, oboje jednaki $\binom{n}{0}1+\binom{n}{1}x+...+\binom{n}{r}x^r+...+\binom{n}{n}x^n$ Kad se oba koeficienta množe, sumom na $x^n$ dobiva dugotrajni faktor $x^i$ i na lijevoj strani jednačbe. Kad bismo se ispostavili da je na prvom strani jedna jedna jedna jedna jedna jednačina, onda bismo mogli dokazati da je jedan od dva koeficienta $n$ i da je na desnoj strani jednačina. Kad bismo se ispostavili da je na prvom strani jedna jedna jedna jedna jedna jedna jedna jednačina.	discrete-mathematics,binomial-coefficients,binomial-theorem
A.74	Pokaži da je slika funkcije $f:(0,\infty)\rightarrow \mathbb{R}$, $f(x)=x+\dfrac{1}{x}$ interval $[2,\infty)$.	Pokažite da je slika funkcije $f:(0,\infty)\rightarrow \mathbb{R}$, $f(x)=x+\dfrac{1}{x}$ interval $[2,\infty)$. Ako je $x=1$, onda je $f(1)=2$.	functions,elementary-set-theory
A.75	Ispostavite da je za svaki cijeli broj $m$, $ \lim_{u\to \infty} \frac{u^m}{e^u} = 0 $	Nisam siguran kako to pokazati za svaki cijeli broj $m$, $ \lim_{u\to \infty} \frac{u^m}{e^u} = 0 $. Pogledajući rješenja počinje s $e^u$ $>$ $\frac{u^{m+1}}{(m+1)!}$ ali nisam siguran kako je ovo logičan korak.	real-analysis,calculus,limits
A.76	Korištenje za upotrebu u skladu s člankom 1. stavkom 1.	Problem je sljedeći: Neka $a+b\mathbb{Z}=\{z\in \mathbb{Z}\mid z = a+bk \text{ for some  }k\in \mathbb{Z}\}$ gdje $a\in \mathbb{Z}$ i $b\in  \mathbb{Z}-\{0\}$. Pretpostavimo da imamo skup takvih skupova $\{a_i+b_i\mathbb{Z}\mid i \in \mathbb{N}\}$ zadovoljavajući: $$\bigcup_{i \in \mathbb{N}}(a_i+b_i\mathbb{Z})=\mathbb{Z}$$ Pokaži je li uvijek moguće izvući krajnju podskuplju $I\subset \mathbb{N}$ s.t. $$\bigcup_{i \in I}(a_i+b_i\mathbb{Z})=\mathbb{Z}$$ Nažalost, čini se da sam zaboravio puno od svoje osnovne algebra... Međutim, pokušao sam nešto: Neka $\{p_k\}=\{2,3,5,\dots\}$ bude skup prvoslovnih brojeva. Možemo konstruirati: $$\left(\bigcup_{k\in \mathbb{N}}(0+p_k\mathbb{Z})\right)\cup (-1+\ell_1 \mathbb{Z})\cup (1+\ell_2\mathbb{Z})=\mathbb{Z}$$ za neke odgovarajuće ne-negativne brojeve čjele $a+b\mathbb{Z}=\{z\in \mathbb{Z}\mid z = a+bk \text{ for some  }k\in \mathbb{Z}\}$0. Možemo dokazati $a+b\mathbb{Z}=\{z\in \mathbb{Z}\mid z = a+bk \text{ for some  }k\in \mathbb{Z}\}$1.	general-topology,elementary-number-theory
